Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,15.57262577,11.09775393,0.516701714,3315,0,5.588098177,2.787353975,
2.175859418,1145,,,,40.05744627,11.08338887,1.035315191,5816,0,11.30841127,3.542881294,
3.942290918,1240,,,,75.86735458,11.06266025,1.805934609,7842,0,19.8366484,3.824888049,
5.675724918,1335,,,,118.0019104,11.03290121,2.708332517,9668,0,29.77102381,3.963806603,
7.397928168,1430,,,,162.6403711,11.00570382,3.765229553,11269,0,41.31157516,3.936920523,
9.078315918,1525,,,,211.8219367,10.97328885,5.001324177,12872,0,54.71067656,3.871731636,
10.73280967,1620,,,,275.1396193,10.93073708,6.537987952,14662,0,71.32889305,3.857422882,
12.44195142,1715,,,,344.6764075,10.87728555,8.383052506,16320,0,91.04605782,3.785756302,
14.22333342,1810,,,,425.5504489,10.79971332,10.78336343,18132,0,116.344709,3.657674747,
15.93430642,1905,,,,425.5504489,10.79971332,10.78336343,18132,0,116.344709,3.657674747,
17.62226667,2000,,,,425.5504489,10.79971332,10.78336343,18132,0,116.344709,3.657674747,
