Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,13.33245077,11.14369204,0.284004957,3321,0,3.037997604,4.389200167,
2.241851414,1145,,,,36.73352352,11.1350731,0.590788022,5691,0,6.490107646,5.660306672,
4.033117414,1240,,,,68.3762351,11.12018855,1.066639975,7607,0,11.7407599,5.823831741,
5.828283914,1335,,,,107.0862614,11.10179423,1.739110586,9329,0,19.16407002,5.58809153,
7.558190914,1430,,,,142.8671328,11.0795046,2.45002319,10761,0,26.98418656,5.294600998,
9.281793414,1525,,,,182.0387563,11.05488085,3.290184781,12156,0,36.24703171,5.022205935,
11.09411816,1620,,,,237.0196809,11.01804321,4.581014466,13571,0,50.3176777,4.710490312,
12.83741066,1715,,,,296.132665,10.96755548,6.234080254,15127,0,68.29669325,4.335991302,
14.56658691,1810,,,,368.5692222,10.90255794,8.424419046,16752,0,91.76326161,4.016566756,
16.36718866,1905,,,,441.8429235,10.71702509,10.97641081,18206,0,117.4823131,3.760944444,
18.12007791,2000,,,,441.8429235,10.71702509,10.97641081,18206,0,117.4823131,3.760944444,
