Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,13.48762435,11.13733083,0.261497354,3202,0,2.786715139,4.849079346,
2.405336046,1145,,,,36.2330137,11.12912101,0.596741415,5408,0,6.496749113,5.579034477,
4.283452046,1240,,,,67.29792516,11.11444838,1.082079518,7261,0,11.86916212,5.6713692,
6.151354046,1335,,,,101.913761,11.09492119,1.733319375,8941,0,19.10313783,5.335406874,
8.063581546,1430,,,,140.1214268,11.07443782,2.490436175,10382,0,27.42254012,5.109962158,
9.980471546,1525,,,,180.0912599,11.04770842,3.368087851,11681,0,37.05113081,4.860723439,
11.81129005,1620,,,,227.4915851,11.01419827,4.53509735,13013,0,49.81004123,4.567246001,
13.65681155,1715,,,,284.2331728,10.96800024,6.077009283,14365,0,66.51362933,4.273335695,
15.5690778,1810,,,,351.4778628,10.91257844,8.054006769,15870,0,87.64926081,4.010062459,
17.40516705,1905,,,,423.3253162,10.8411094,10.49341468,17323,0,113.642276,3.725078941,
19.2834163,2000,,,,423.3253162,10.8411094,10.49341468,17323,0,113.642276,3.725078941,
