Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1000,,,,-0.08468024560197479,7.442109257127735,0.08170066121111139,1,0,0.4785453331915906,0.06420215882684142,,
2.2943981440003958,1100,,,,8.102803963143486,7.436835482521429,0.3037227022399401,2053,0,2.1318825601792346,3.8001836326643863,,
4.082583644000441,1200,,,,18.564463870780983,7.428853957176332,0.5253038794461948,4185,0,3.7590409330686043,4.951245160198514,,
5.935681144000403,1300,,,,31.503255287742686,7.419188811306443,0.854034353884885,5407,0,6.207309968567146,5.077610833180603,,
7.761390144000437,1400,,,,48.70580530497602,7.410896103181052,1.1516824609089054,6620,0,8.428002215594558,5.779424742111296,,
9.54909364400031,1500,,,,70.46233321331778,7.3974331096206,1.6348939884577127,7805,0,11.942198807297595,5.900820801159812,,
11.384275394000532,1600,,,,93.52334662028679,7.378945036469446,2.180614207633313,9005,0,15.938346847195707,5.867943415595253,,
13.208115644000378,1700,,,,120.16641694361563,7.359705794759134,2.823252870577366,10080,0,20.631886866686507,5.824400383720307,,
14.990880644000551,1800,,,,150.64017534132432,7.336875159696395,3.5444452568325224,11239,0,25.839173901956276,5.830113971396816,,
16.84973414400048,1900,,,,184.65995506950486,7.310089514409578,4.509636117870849,12380,0,32.84334913314315,5.622932728535487,,
18.695669644000333,2000,,,,214.61730495046456,7.281382171612458,5.475787474990207,13235,0,39.78752810157574,5.394376205441908,,
