Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,15.02766541,11.13400531,0.281818276,3059,0,3.001290248,5.018648182,
2.400703527,1145,,,,42.01064835,11.12420925,0.614923166,4987,0,6.714849068,6.258199686,
4.291375277,1240,,,,76.46410041,11.11080583,1.138623294,6705,0,12.51007655,6.112695627,
6.126602777,1335,,,,117.2812482,11.09001956,1.844150544,8248,0,20.31499011,5.77341355,
7.933855527,1430,,,,159.6934584,11.0697729,2.636498561,9557,0,29.10598802,5.486690856,
9.767458777,1525,,,,199.841141,11.04099714,3.52978628,10749,0,38.81876988,5.148091638,
11.66019953,1620,,,,254.5220333,11.00517027,4.811263468,12075,0,52.84269756,4.816675742,
13.49070528,1715,,,,314.6415949,10.95779976,6.394927931,13476,0,69.91224362,4.500563093,
15.41560603,1810,,,,383.8439071,10.89869937,8.434121729,14860,0,91.85353879,4.17887265,
17.31196428,1905,,,,459.6023052,10.82847493,10.79865582,16303,0,116.8254622,3.934105007,
19.11424028,2000,,,,459.6023052,10.82847493,10.79865582,16303,0,116.8254622,3.934105007,
