Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1050,,,,8.168005620999095,11.136942848303892,0.18221970723054937,2765,0,1.9131225928449722,4.2796407197283575,,
2.4008960724997332,1145,,,,21.982655917512847,11.132327504029941,0.36750340999926273,4348,0,3.9680873330711064,5.541700210108367,,
4.238878322499711,1240,,,,41.079476493093885,11.12450782740107,0.657321417830717,5924,0,7.204126248516017,5.703069209401199,,
6.107078572499519,1335,,,,64.87660267481213,11.114953933874714,1.0161183515922125,7349,0,11.195349882581834,5.795275699836507,,
8.010909572499711,1430,,,,90.56698277772374,11.102866601409913,1.4452141398397462,8725,0,15.926184447796667,5.687763114666319,,
10.150372822499506,1525,,,,122.74739342820904,11.085985213278382,2.007994538834924,10012,0,22.13455717056159,5.545686291604388,,
11.977698572499582,1620,,,,160.69720534103314,11.06559140458941,2.6770176584178236,11308,0,29.531514482145685,5.441584987673211,,
13.931549822499463,1715,,,,200.57611596459273,11.044551992817851,3.5548924314865102,12514,0,39.13224564654378,5.126014604401635,,
15.817663072499446,1810,,,,252.72711878866784,11.011167433398239,4.612915343466515,13875,0,50.62525567339955,4.992122581778982,,
17.690172572499698,1905,,,,305.7850405848548,10.970894211252022,5.98312651942648,15213,0,65.50251507661866,4.668307596059462,,
19.63046907249973,2000,,,,353.3586923579449,10.934980640337471,7.215084695551558,16111,0,78.65355664128334,4.492614848610074,,
