Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,-0.909312957,11.13557117,0.029339199,0,0,0.26642308,0,
1.814654678,1100,,,,27.63811607,11.12451921,0.361118349,4185,0,3.877269729,7.13052439,
3.266183428,1200,,,,56.54865175,11.11367363,0.763660183,5851,0,8.373119277,6.753939797,
4.716062428,1300,,,,90.24262475,11.09504767,1.344497409,7376,0,14.79096833,6.101198859,
6.171761428,1400,,,,122.1054094,11.07525126,1.978240808,8565,0,21.74717685,5.614839625,
7.646022428,1500,,,,162.3000004,11.04808378,2.836352567,9808,0,31.20065092,5.201931685,
9.094063928,1600,,,,210.5221092,11.007753,4.055733006,11181,0,44.50796264,4.730051474,
10.55301018,1700,,,,270.6900861,10.95529933,5.831871585,12653,0,63.78000688,4.244446556,
12.00322668,1800,,,,338.9650393,10.88384992,7.997333543,14172,0,86.96390966,3.897804597,
13.46861868,1900,,,,408.8775046,10.8017237,10.50710927,15564,0,113.3902376,3.605948505,
14.93375168,2000,,,,408.8775046,10.8017237,10.50710927,15564,0,113.3902376,3.605948505,
