Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,13.23076754,11.11567155,0.449624238,3378,0,4.860679493,2.723768542,
2.284840574,1145,,,,34.15787387,11.10248249,0.876195958,5507,0,9.530349881,3.585104865,
4.038799824,1240,,,,63.81591711,11.0864348,1.501542515,7424,0,16.56235586,3.853259945,
5.767699324,1335,,,,101.1969306,11.06250587,2.248647336,9159,0,24.6766363,4.100949836,
7.589278074,1430,,,,140.2534567,11.03801115,3.093579746,10692,0,33.95715135,4.130334468,
9.313162074,1525,,,,189.2126666,11.00781969,4.155370564,12283,0,45.57355538,4.151981567,
11.09854732,1620,,,,247.01824,10.96736029,5.516343752,14013,0,60.47728393,4.084525269,
12.84227157,1715,,,,307.8472676,10.92205445,7.061935393,15615,0,76.97289518,3.999462827,
14.62280407,1810,,,,380.4862738,10.85958002,9.100313239,17298,0,98.6488855,3.856990979,
16.41766607,1905,,,,430.1282293,10.29770657,10.96524986,18324,0,112.7435312,3.815107923,
18.17515682,2000,,,,430.1282293,10.29770657,10.96524986,18324,0,112.7435312,3.815107923,
