Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,15.72097989,11.13639287,0.500231281,3586,0,5.381454139,2.921183122,
2.212251345,1145,,,,40.31075269,11.12067433,1.010159369,5855,0,11.08547167,3.637038892,
3.953288345,1240,,,,75.53811907,11.10021809,1.761858811,7849,0,19.44920874,3.884477825,
5.697050845,1335,,,,117.4338637,11.07102941,2.614421734,9621,0,28.87794061,4.066662059,
7.443204595,1430,,,,161.8547152,11.04550223,3.619321355,11193,0,39.94434831,4.052430014,
9.207963845,1525,,,,214.4081984,11.00861151,4.861723172,12808,0,53.52294606,4.006051429,
10.88250659,1620,,,,280.7133271,10.96917269,6.40857893,14577,0,70.14796929,4.001772338,
12.66703909,1715,,,,350.0603391,10.91204943,8.242876381,16248,0,89.81403623,3.897654518,
14.35730884,1810,,,,434.8182936,10.83610033,10.64644425,17963,0,115.0862514,3.778224309,
16.08871034,1905,,,,434.8182936,10.83610033,10.64644425,17963,0,115.0862514,3.778224309,
17.82927909,2000,,,,434.8182936,10.83610033,10.64644425,17963,0,115.0862514,3.778224309,
