Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,25.18706056,11.1177235,0.339367849,2582,0,3.650170923,6.901676178,
2.421960871,1145,,,,58.45380224,11.10283248,0.820408277,5802,0,8.943956169,6.535816686,
4.247189871,1240,,,,97.25703507,11.08110255,1.555808613,7532,0,17.14031469,5.674279748,
6.143239871,1335,,,,136.2080984,11.05614603,2.404463123,8912,0,26.43962114,5.151676896,
7.976473621,1430,,,,174.6367316,11.02682977,3.361919285,10084,0,36.92357755,4.729726777,
9.867753121,1525,,,,225.3986299,10.98512785,4.843762241,11417,0,53.0635033,4.247732901,
11.69262712,1620,,,,286.0608656,10.93445648,6.8161286,12822,0,74.38866739,3.845691484,
13.51975512,1715,,,,362.850977,10.85411451,9.468560941,14327,0,102.5590949,3.538022869,
15.41452837,1810,,,,375.7275453,9.553556633,10.90971571,14556,0,104.0824362,3.609909334,
17.25479687,1905,,,,375.7275453,9.553556633,10.90971571,14556,0,104.0824362,3.609909334,
19.06240912,2000,,,,375.7275453,9.553556633,10.90971571,14556,0,104.0824362,3.609909334,
