Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1050,,,,5.986544104624849,7.430943235562813,0.35340462008302276,0,0,2.5106527189944776,0,,
2.254305940748006,1145,,,,17.08839165287239,7.422623250886488,0.6220326541577081,3701,0,4.50121660023358,3.796966961457631,,
3.951863690751046,1240,,,,31.845119421959176,7.410692454134255,1.02199279540481,4971,0,7.421516422095327,4.29225783953645,,
5.673801690750569,1335,,,,52.741593588568136,7.396212552731403,1.5317175188939447,6134,0,11.189098189608355,4.71372718984844,,
7.381277440752834,1430,,,,73.78784479397429,7.380613816539755,2.082412423196177,7193,0,15.217751293279496,4.849270490935254,,
9.126763940752298,1525,,,,101.80088713762572,7.358942055473692,2.7935369544959134,8334,0,20.41578262156648,4.98653345405114,,
10.816630440750718,1620,,,,137.08779778590258,7.332581658759915,3.7125643912245976,9564,0,27.097800443226276,5.059256440742584,,
12.550110690749433,1715,,,,172.2571466327485,7.303118340692213,4.7146417242086525,10730,0,34.34406860305277,5.015658883778971,,
14.303555440749975,1810,,,,218.47228322707818,7.262962569882852,6.045567757445829,11842,0,43.752959107598784,4.9933474332663135,,
16.08017194075063,1905,,,,268.54735592237597,7.214171153845067,7.703385117943372,13045,0,55.46583615552987,4.841753306583681,,
17.734634690748152,2000,,,,306.04082567391066,7.172812464965108,9.126191927479967,13929,0,65.30655847581889,4.686309505455485,,
