Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1000,,,,-2.0473418237283574,7.46556086848898,0.09620438701886079,0,0,0.5980565041844773,0,,
2.4236415705000978,1100,,,,12.574078403490812,7.457585737987598,0.3478079592740059,0,0,2.46801023368201,0,,
4.35286357049998,1200,,,,29.336902355403527,7.446951912117028,0.6765829504468006,5030,0,4.886123228647404,6.004701830092378,,
6.239694070500135,1300,,,,49.26545027230768,7.43047051051551,1.1505469340569239,6383,0,8.414844407440457,5.854937927479412,,
8.176663820500114,1400,,,,71.92893385920648,7.410384509314541,1.7468028036236567,7646,0,12.808477089577954,5.616040279838781,,
10.020372820500052,1500,,,,97.57764430104886,7.388867687025697,2.4427593646812555,8816,0,17.922991150220764,5.444330458338068,,
11.905476320500068,1600,,,,123.64334275080066,7.360700834466428,3.281337551018926,9917,0,24.015785259895686,5.148439917078041,,
13.820863320499985,1700,,,,161.05806670429408,7.322840973461423,4.464778158783477,11185,0,32.562001892781716,4.946189952170527,,
15.757675570499899,1800,,,,205.50779553290047,7.269164782944257,5.920290347824238,12572,0,42.882107653016746,4.792384875094517,,
17.618127570499944,1900,,,,251.0697337225812,7.209602478301306,8.011485262097846,13859,0,57.60788091656845,4.358254493457224,,
19.554526070500025,2000,,,,292.6541862912249,7.150412535159522,9.813804771382749,14793,0,70.05250804865247,4.177677378934078,,
